INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1001, 2, '543 Wash Dr', 'Timbuctoo', 'CA', '95977', 'N', 'Mom Trujillo')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1005, 2, '05 Boulder Rd', 'Boulder', 'CO', '80314', 'N', 'Tina Stump')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1006, 2, '88 Penn Street', 'Oakland', 'CA', '94603', 'N', 'Nathanial Li')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1042, 2, '138 11th Street', 'Frankenmuth', 'MI', '48734', 'N', 'Janna Morales')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1090, 2, '185 Princess Lane', 'Ann Arbor', 'MI', '48103', 'N', 'Noelle Cisneros')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1003, 3, 'Tanker Lane NW', 'San Antonio', 'TX', '78211', 'N', 'Jimmy Knew')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1088, 3, '366 2nd Street East', 'San Antonio', 'TX', '78211', 'Y', '')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1030, 3, '543 Penn Ave.', 'Columbus', 'GA', '31904', 'N', 'Keaton Good')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1048, 4, '290 Hamilton Street', 'Rye', 'NH', '3870', 'Y', '')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1004, 5, '001 Church St', 'New Glarus', 'WI', '53574', 'Y', '')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1007, 5, '5 Sherwood St.', 'Goodlettsville', 'TN', '37072', 'N', 'Alyson Sanders')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1015, 5, '42 Silver Spear Street', 'Mooresville', 'NC', '28115', 'N', 'Precious Chung')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1078, 5, '164 Woodside Street', 'Simpsonville', 'SC', '29680', 'N', 'Claudia Wilkins')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1016, 8, '635 Coffee St.', 'Fresh Meadows', 'NY', '11365', 'N', 'Braeden Bass')
INSERT INTO [ShippingInfo] ([ShipId], [CustId], [StreetAddress], [City], [State], [Zipcode], [PrimaryAdd], [AltName])VALUES(1108, 8, '326 Jefferson Avenue', 'Saint Augustine', 'FL', '32084', 'Y', '')
